"","class_name","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10"
"1",0,0.779661,4.271186,1.000000,11180.000000,1.000000,0.000000,3.000000,0.000000,1.000000,87.000000,0.000000
"2",0,0.838710,4.274194,0.833333,11180.000000,1.000000,0.000000,3.000000,0.000000,0.000000,87.000000,0.000000
