"","class_name","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9"
"1",0,0.192308,0.185185,0.000000,0.000000,0.000000,2749.000000,37.000000,44.000000,1.000000,249.000000
"2",0,0.476190,0.140845,0.000000,0.000000,0.000000,2514.000000,52.000000,68.000000,1.000000,230.000000
"3",0,0.833333,0.158730,0.000000,0.000000,0.000000,2800.000000,42.000000,54.000000,1.000000,249.000000
"4",0,0.222222,0.227273,0.000000,0.000000,0.000000,2378.000000,39.000000,36.000000,1.000000,246.000000
"5",0,0.370370,0.270270,0.000000,0.000000,0.000000,2819.000000,35.000000,28.000000,1.000000,248.000000
"6",0,0.344828,0.204082,0.000000,0.000000,0.000000,2948.000000,23.000000,39.000000,1.000000,272.000000
"7",0,0.555556,0.208333,0.000000,0.000000,0.000000,2659.000000,38.000000,38.000000,1.000000,225.000000
"8",0,0.384615,0.250000,0.000000,0.000000,0.000000,2919.000000,27.000000,31.000000,1.000000,289.000000
"9",0,0.208333,0.222222,0.000000,0.000000,0.000000,3056.000000,37.000000,35.000000,1.000000,309.000000
"10",0,1.000000,0.166667,0.000000,0.000000,0.000000,2869.000000,44.000000,50.000000,1.000000,245.000000
"11",0,0.303030,0.200000,0.000000,0.000000,0.000000,2789.000000,35.000000,43.000000,1.000000,261.000000
"12",0,0.666667,0.222222,0.000000,0.000000,0.000000,2467.000000,30.000000,35.000000,1.000000,211.000000
"13",0,0.400000,0.384615,0.000000,0.000000,0.000000,2408.000000,26.000000,16.000000,1.000000,203.000000
"14",0,0.434783,0.285714,0.000000,0.000000,0.000000,2789.000000,29.000000,28.000000,1.000000,234.000000
"15",0,0.357143,0.270270,0.000000,0.000000,0.000000,2754.000000,36.000000,27.000000,1.000000,245.000000
"16",0,0.384615,0.208333,0.000000,0.000000,0.000000,2877.000000,25.000000,42.000000,1.000000,265.000000
"17",0,0.454545,0.161290,0.000000,0.000000,0.000000,2761.000000,55.000000,56.000000,1.000000,260.000000
"18",0,0.625000,0.322581,0.000000,0.000000,0.000000,2643.000000,32.000000,24.000000,1.000000,241.000000
"19",0,0.250000,0.285714,0.000000,0.000000,0.000000,2586.000000,35.000000,27.000000,1.000000,253.000000
"20",0,0.500000,0.232558,0.000000,0.000000,0.000000,2725.000000,35.000000,34.000000,1.000000,254.000000
"21",0,0.333333,0.322581,0.000000,0.000000,0.000000,2648.000000,46.000000,23.000000,1.000000,233.000000
"22",0,0.250000,0.185185,0.000000,0.000000,0.000000,2887.000000,39.000000,44.000000,1.000000,277.000000
"23",0,0.434783,0.092593,0.000000,0.000000,0.000000,2599.000000,32.000000,119.000000,1.000000,226.000000
"24",0,0.555556,0.238095,0.000000,0.000000,0.000000,2735.000000,31.000000,32.000000,1.000000,256.000000
"25",0,0.370370,0.208333,0.000000,0.000000,0.000000,2826.000000,36.000000,38.000000,1.000000,279.000000
"26",0,0.322581,0.212766,0.000000,0.000000,0.000000,2662.000000,47.000000,43.000000,1.000000,229.000000
"27",0,0.500000,0.178571,0.000000,0.000000,0.000000,2595.000000,34.000000,46.000000,1.000000,227.000000
