"","class_name","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10","feature_11","feature_12","feature_13","feature_14","feature_15","feature_16","feature_17","feature_18","feature_19","feature_20","feature_21","feature_22","feature_23"
"1",0,1.634615,5.365385,0.000000,0.000000,0.000000,1.000000,0.714286,0.714286,1.000000,0.000000,0.000000,0.000000,0.061538,0.015385,0.032000,0.039600,0.046154,0.046875,0.016667,0.063000,0.200000,0.000000,1.000000,0.812500
"2",1,0.779661,4.271186,0.166667,0.250000,1.000000,1.000000,0.714286,0.500000,1.000000,0.000000,0.030000,0.033333,0.017544,0.017544,0.028000,0.043700,0.000000,0.000000,0.003333,0.055000,0.052632,0.000000,1.000000,0.766234
